word,sentence,pair,re-sentence
guess,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",estimate,"I know, I know, I'm such an idiot. I estimate I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?"
guess,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",speculate,"I know, I know, I'm such an idiot. I speculate I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?"
right,"My brother's going through that right now, he's such a mess. How did you get through it?",correct,"My brother's going through that correct now, he's such a mess. How did you get through it?"
clear,"Ooh, steer clear of you.",obvious,"Ooh, steer obvious of you."
end,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento.  You, however have had the love of a woman for four years.  Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",conclude,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the conclude of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
right,I know being spit on is probably not what you need right now. Um... how long?,correct,I know being spit on is probably not what you need correct now. Um... how long?
glad,Wow! I'm-I'm-I'm glad you smashed her watch! ,pleased,Wow! I'm-I'm-I'm pleased you smashed her watch!
ask,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? ",inquire,"Y'know, here's the thing. Even if I could get it together enough to- to inquire a woman out,... who am I gonna ask?"
entire,"Isn't this amazing? I mean, I have never made coffee before in my entire life.",whole,"Isn't this amazing? I mean, I have never made coffee before in my whole life."
buy,"Yeah, we all have jobs. See, that's how we buy stuff.",purchase,"Yeah, we all have jobs. See, that's how we purchase stuff."
answer,I assume we're looking for an answer more sophisticated than 'to get you into bed'. ,reply,I assume we're looking for an reply more sophisticated than 'to get you into bed'.
severe,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear? ,harsh,Is it me? Is it like I have some sort of beacon that only dogs and men with harsh emotional problems can hear?
great,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots! ",grand,"They're my new 'I don't need a job, I don't need my parents, I've got grand boots' boots!"
whole,"C'mon, you can't live off your parents your whole life. ",entire,"C'mon, you can't live off your parents your entire life."
hard,"Give her a break, it's hard being on your own for the first time. ",difficult,"Give her a break, it's difficult being on your own for the first time."
great,"I said that you had a nice butt, it's just not a great butt.",grand,"I said that you had a nice butt, it's just not a grand butt."
great,"Oh, you wouldn't know a great butt if it came up and bit ya.",grand,"Oh, you wouldn't know a grand butt if it came up and bit ya."
great,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake. ",grand,"The problem is, though, after the concert's over, no matter how grand the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
find,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone. ",locate,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna locate yourself sitting at home, listening to that album alone."
calm,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come. ",tranquil,"Yeah, tranquil down. You don't see Ross getting all chaotic and twirly every time they come."
big,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born. ",large,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some large ceremony before I was born."
entire,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder... ",whole,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your whole family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder..."
find,"Easy Rach, we'll find it.  Won't we! ",locate,"Easy Rach, we'll locate it. Won't we!"
right,Doy! Probably right before she lost it! ,correct,Doy! Probably correct before she lost it!
right,"Yeah. Do that for another two hours, you might be where I am right about now.  ",correct,"Yeah. Do that for another two hours, you might be where I am correct about now."
whole,"Kinda puts that whole pillow thing in perspective, huh, Mon? ",entire,"Kinda puts that entire pillow thing in perspective, huh, Mon?"
whole,"Well now, how-how do you fit into this whole thing? ",entire,"Well now, how-how do you fit into this entire thing?"
fit,"Well now, how-how do you fit into this whole thing? ",suit,"Well now, how-how do you suit into this whole thing?"
big," Do you remember the Ludwins? The big one had a thing for you, didn't she? ",large,"Do you remember the Ludwins? The large one had a thing for you, didn't she?"
whole,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me. ",entire,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the entire baby/lesbian thing? Because I think it might take some of the heat off me."
chance,"Well, at least she had the chance to leave a man at the altar... ",opportunity,"Well, at least she had the opportunity to leave a man at the altar..."
clean,"All right, you guys, I kinda gotta clean up now.  ",tidy,"All right, you guys, I kinda gotta tidy up now."
clear,"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN... ",obvious,"Well, you may wanna steer obvious of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN..."
big," Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway. ",large,"Sorry I'm late, I was stuck at work. There was this large dinosaur.. thing.. anyway."
guess,"Anyway, um,  I guess this belongs to you. And thank you for giving it to me. ",estimate,"Anyway, um, I estimate this belongs to you. And thank you for giving it to me."
guess,"Anyway, um,  I guess this belongs to you. And thank you for giving it to me. ",speculate,"Anyway, um, I speculate this belongs to you. And thank you for giving it to me."
right,"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now. ",correct,"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing correct now."
great,"Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'... ",grand,"Okay. Okay, let's say I bought a really grand pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'..."
enjoy,Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt. ,relish,Okay. I'd- just- I'd never be able to relish it. It would be like this giant karmic debt.
chance,"Look, I don't even know how I feel about him yet. Just give me a chance to figure that out. ",opportunity,"Look, I don't even know how I feel about him yet. Just give me a opportunity to figure that out."
weak,"I mean, why should I let them meet him? I mean, I bring a guy home, and within five minutes they're all over him. I mean, they're like- coyotes, picking off the weak members of the herd. ",feeble,"I mean, why should I let them meet him? I mean, I bring a guy home, and within five minutes they're all over him. I mean, they're like- coyotes, picking off the feeble members of the herd."
terrible,"Listen. As someone who's seen more than her fair share of bad beef, I'll tell you: that is not such a terrible thing. I mean, they're your friends, they're just looking out after you. ",awful,"Listen. As someone who's seen more than her fair share of bad beef, I'll tell you: that is not such a awful thing. I mean, they're your friends, they're just looking out after you."
free,"'Dear Ms. Buffay. Thank you for calling attention to our error. We have credited your account with five hundred dollars. We're sorry for the inconvenience, and hope you'll accept this-  -football phone as our free gift.' Do you believe this?! Now I have a thousand dollars, and a football phone! ",liberate,"'Dear Ms. Buffay. Thank you for calling attention to our error. We have credited your account with five hundred dollars. We're sorry for the inconvenience, and hope you'll accept this- -football phone as our liberate gift.' Do you believe this?! Now I have a thousand dollars, and a football phone!"
ask,Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes.. ,inquire,Can I inquire you guys a question? D'you ever think that Alan is maybe.. sometimes..
buy,"Okay, alright, you buy me a soda, and then we're even. Okay? ",purchase,"Okay, alright, you purchase me a soda, and then we're even. Okay?"
collect,"Well, maybe it's a contest, y'know? Like, collect all five? ",gather,"Well, maybe it's a contest, y'know? Like, gather all five?"
constant,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this? ",persistent,"So I have a flaw! Big deal! Like Joey's persistent knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?"
big,"Well, he's a big boy, he'll get over it. ",large,"Well, he's a large boy, he'll get over it."
easy,"Okay. It's-it's about Alan. There's something that you should know. I mean, there's really no easy way to say this.. uh.. I've decided to break up with Alan. ",simple,"Okay. It's-it's about Alan. There's something that you should know. I mean, there's really no simple way to say this.. uh.. I've decided to break up with Alan."
great,"Yeah, well, I had a great time with you.. I just can't stand your friends. ",grand,"Yeah, well, I had a grand time with you.. I just can't stand your friends."
free,You got waaaay too much free time. ,liberate,You got waaaay too much liberate time.
decide,"So, I'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date? ",determine,"So, I'm guessing you had an extra ticket and couldn't determine which one of you got to bring a date?"
big,"Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a big thumb finger? ",large,"Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a large thumb finger?"
buy,"Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a big thumb finger? ",purchase,"Alright, alright, maybe it'll take my mind off it. Do you promise to purchase me a big thumb finger?"
great,"Oh, by the way, great service tonight. ",grand,"Oh, by the way, grand service tonight."
big," Look at you, you are so big I can't believe it! ",large,"Look at you, you are so large I can't believe it!"
guess,"Well, guess who my dad's making partner in his firm?  ",estimate,"Well, estimate who my dad's making partner in his firm?"
guess,"Well, guess who my dad's making partner in his firm?  ",speculate,"Well, speculate who my dad's making partner in his firm?"
brief,We'll take a brief time out while Messier stops to look at some women's shoes. ,concise,We'll take a concise time out while Messier stops to look at some women's shoes.
find,"Hey, that woman's got an ass like Carol's!  What? Thought we were trying to find stuff. ",locate,"Hey, that woman's got an ass like Carol's! What? Thought we were trying to locate stuff."
ask,"Oh, God, ask them what they want. ",inquire,"Oh, God, inquire them what they want."
angry,What? There was ice there that night with Carol? Plastic seats? Four thousand angry Pittsburgh fans? ,furious,What? There was ice there that night with Carol? Plastic seats? Four thousand furious Pittsburgh fans?
great,You should feel great about yourself! You're doing this amazing independence thing! ,grand,You should feel grand about yourself! You're doing this amazing independence thing!
big,"Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village.. ",large,"Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this large plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village.."
guess,"Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room.  ",estimate,"Listen, it's kind of an emergency. Well, I estimate you know that, or we'd be in the predicament room."
guess,"Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room.  ",speculate,"Listen, it's kind of an emergency. Well, I speculate you know that, or we'd be in the predicament room."
intelligent,"Wait, was this a-a small mediterranean guy with curiously intelligent good looks? ",clever,"Wait, was this a-a small mediterranean guy with curiously clever good looks?"
great,"White House adviser? Clinton's campaign guy? The one with the great hair, sexy smile, really cute butt? ",grand,"White House adviser? Clinton's campaign guy? The one with the grand hair, sexy smile, really cute butt?"
big,"He's right, enough, already. What is the big deal about today? So you slept with her for the first time, so what? You slept with her for seven years after that. ",large,"He's right, enough, already. What is the large deal about today? So you slept with her for the first time, so what? You slept with her for seven years after that."
whole,"So in your whole life, you've only been with oneoh. ",entire,"So in your entire life, you've only been with oneoh."
big,"Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight! ",large,"Whoah, boy, hockey was a large mistake! There was a whole bunch of stuff we could've done tonight!"
whole,"Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight! ",entire,"Whoah, boy, hockey was a big mistake! There was a entire bunch of stuff we could've done tonight!"
big,Hello? Like he was really gonna send you one?  She was a big girl. ,large,Hello? Like he was really gonna send you one? She was a large girl.
great,"Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight. ",grand,"Oh, I thought you were grand in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight."
big,Would you let it go? It's not that big a deal.,large,Would you let it go? It's not that large a deal.
big,"Not that big a deal? It's amazing. Ok, you just reach in there, there's one little maneuver, and bam, a bra right out the sleeve. All right, as far as I'm concerned, there is nothing a guy can do that even comes close. Am I right?",large,"Not that large a deal? It's amazing. Ok, you just reach in there, there's one little maneuver, and bam, a bra right out the sleeve. All right, as far as I'm concerned, there is nothing a guy can do that even comes close. Am I right?"
right,"Not that big a deal? It's amazing. Ok, you just reach in there, there's one little maneuver, and bam, a bra right out the sleeve. All right, as far as I'm concerned, there is nothing a guy can do that even comes close. Am I right?",correct,"Not that big a deal? It's amazing. Ok, you just reach in there, there's one little maneuver, and bam, a bra correct out the sleeve. All right, as far as I'm concerned, there is nothing a guy can do that even comes close. Am I right?"
big,"So, Saturday night, the big night, date night, Saturday night, Sat-ur-day night!",large,"So, Saturday night, the large night, date night, Saturday night, Sat-ur-day night!"
whole,"Did he give you that whole ""You're-not-up-to-this"" thing again?",entire,"Did he give you that entire ""You're-not-up-to-this"" thing again?"
big,"Oh, big glamour night. Me and Monica at Laundorama.",large,"Oh, large glamour night. Me and Monica at Laundorama."
great,"Come on, we were great together. And not just at the fun stuff, but like, talking too.",grand,"Come on, we were grand together. And not just at the fun stuff, but like, talking too."
guess,"Yeah, well, sorry, Joe. You said let's just be friends, so guess what?",estimate,"Yeah, well, sorry, Joe. You said let's just be friends, so estimate what?"
guess,"Yeah, well, sorry, Joe. You said let's just be friends, so guess what?",speculate,"Yeah, well, sorry, Joe. You said let's just be friends, so speculate what?"
huge," I know, but, I made a huge mistake. I never should have broken up with her. Will you help me? Please?",enormous,"I know, but, I made a enormous mistake. I never should have broken up with her. Will you help me? Please?"
awful,"Oh, my god, I am so glad you called me. I had the most supremely awful day.",terrible,"Oh, my god, I am so glad you called me. I had the most supremely terrible day."
glad,"Oh, my god, I am so glad you called me. I had the most supremely awful day.",pleased,"Oh, my god, I am so pleased you called me. I had the most supremely awful day."
rule,"Hey, hey, hey, that's not the rule and you know it. ",govern,"Hey, hey, hey, that's not the govern and you know it."
separate,"Rach, do you uh, are you gonna separate those?",divide,"Rach, do you uh, are you gonna divide those?"
whole,"Uh, well, don't worry, I'll use the gentle cycle. Ok, um, basically you wanna use one machine for all your whites, a whole nother machine for colors, and a third for your uh, your uh, delicates, and that would be your bras and your under-panty things.",entire,"Uh, well, don't worry, I'll use the gentle cycle. Ok, um, basically you wanna use one machine for all your whites, a entire nother machine for colors, and a third for your uh, your uh, delicates, and that would be your bras and your under-panty things."
lucky,"You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel.",fortunate,"You're a fortunate man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel."
great,"It is so great to meet a guy who is smart and funny, and has an emotional age beyond, like eight.",grand,"It is so grand to meet a guy who is smart and funny, and has an emotional age beyond, like eight."
big,"Except it didn't. It happened to me. Oh, god, I'm gonna look like a big marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!",large,"Except it didn't. It happened to me. Oh, god, I'm gonna look like a large marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!"
right,"Ow. Um, it's just my lens. It's just my lens. I'll be right back.",correct,"Ow. Um, it's just my lens. It's just my lens. I'll be correct back."
fine,"What a beautiful story. Hey, I'm fine by the way.",exquisite,"What a beautiful story. Hey, I'm exquisite by the way."
beautiful,"What a beautiful story. Hey, I'm fine by the way.",gorgeous,"What a gorgeous story. Hey, I'm fine by the way."
beautiful," There's a beautiful woman at eight, nine, ten o'clock!",gorgeous,"There's a gorgeous woman at eight, nine, ten o'clock!"
beautiful,"Oh, oh, but y'know, you always see these really beautiful women with these really nothing guys, you could be one of those guys.",gorgeous,"Oh, oh, but y'know, you always see these really gorgeous women with these really nothing guys, you could be one of those guys."
explain,"So explain something to me here, uh, what kind of a relationship do you imagine us having if you already have a husband and a boyfriend?",clarify,"So clarify something to me here, uh, what kind of a relationship do you imagine us having if you already have a husband and a boyfriend?"
right,"Thank God you didn't try to fan out the magazines. I mean, she'll scratch your eyes right out.",correct,"Thank God you didn't try to fan out the magazines. I mean, she'll scratch your eyes correct out."
right,"Alright, you madcap gal. Try to imagine this. The phone bill arrives, but you don't pay it right away.",correct,"Alright, you madcap gal. Try to imagine this. The phone bill arrives, but you don't pay it correct away."
buy,"Okay, uh, you let me go grocery shopping, and I buy laundry detergent, but it's not the one with the easy-pour spout.",purchase,"Okay, uh, you let me go grocery shopping, and I purchase laundry detergent, but it's not the one with the easy-pour spout."
cold,"Someone's left a glass on the coffee table. There's no coaster. It's a cold drink, it's a hot day. Little beads of condensation are inching their way closer and closer to the surface of the wood...",chilly,"Someone's left a glass on the coffee table. There's no coaster. It's a chilly drink, it's a hot day. Little beads of condensation are inching their way closer and closer to the surface of the wood..."
whole,"Can you believe this? Al Pacino! This guy's the reason I became an actor! ""I'm out of order? Pfeeeh. You're out of order! This whole courtroom's out of order!""",entire,"Can you believe this? Al Pacino! This guy's the reason I became an actor! ""I'm out of order? Pfeeeh. You're out of order! This entire courtroom's out of order!"""
big,"Okay, okay, fine! Make jokes, I don't care! This is a big break for me!",large,"Okay, okay, fine! Make jokes, I don't care! This is a large break for me!"
big,"You're right, you're right, it is...So you gonna invite us all to the big opening?",large,"You're right, you're right, it is...So you gonna invite us all to the large opening?"
big,Whaddya think? Today's the big day!,large,Whaddya think? Today's the large day!
whole,"Oh, you got the whole night, huh?",entire,"Oh, you got the entire night, huh?"
great,"Uh, listen, I just wanna thank you for this great opportunity.",grand,"Uh, listen, I just wanna thank you for this grand opportunity."
angry,"Oh. Well, the way I see it, the guy's upset here, y'know? I mean, his wife's dead, his brother's missing... I think his butt would be angry here.",furious,"Oh. Well, the way I see it, the guy's upset here, y'know? I mean, his wife's dead, his brother's missing... I think his butt would be furious here."
whole,"What, Ethan? He got to spend the whole day with you!",entire,"What, Ethan? He got to spend the entire day with you!"
great,"C'mon, we're great together, why not?",grand,"C'mon, we're grand together, why not?"
big,"No? What happened, big guy?",large,"No? What happened, large guy?"
big,"No, I don't think this was your shot. I mean, I don't even think you just get one shot. I really believe big things are gonna happen for you, I do! You've gotta just keep thinking about the day that some kid is gonna run up to his friends and go 'I got the part! I got the part! I'm gonna be Joey Tribbiani's ass!'.",large,"No, I don't think this was your shot. I mean, I don't even think you just get one shot. I really believe large things are gonna happen for you, I do! You've gotta just keep thinking about the day that some kid is gonna run up to his friends and go 'I got the part! I got the part! I'm gonna be Joey Tribbiani's ass!'."
present,"Everybody? Shh, shhh. Uhhh... Central Perk is proud to present the music of Miss Phoebe Buffay.",gift,"Everybody? Shh, shhh. Uhhh... Central Perk is proud to gift the music of Miss Phoebe Buffay."
entire,"Wow, this is so cool, you guys. The entire city is blacked out!",whole,"Wow, this is so cool, you guys. The whole city is blacked out!"
focus,"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre!  Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!",concentrate,"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to concentrate on, you idiot!"
middle,"I just never had a relationship with that kind of passion, you know, where you have to have somebody right there, in the middle of a theme park.",center,"I just never had a relationship with that kind of passion, you know, where you have to have somebody right there, in the center of a theme park."
right,"I just never had a relationship with that kind of passion, you know, where you have to have somebody right there, in the middle of a theme park.",correct,"I just never had a relationship with that kind of passion, you know, where you have to have somebody correct there, in the middle of a theme park."
big,"Uh-uh. See, I see.... big passion in your future.",large,"Uh-uh. See, I see.... large passion in your future."
friend,"Because you waited too long to make your move, and now you're in the friend zone. ",companion,"Because you waited too long to make your move, and now you're in the companion zone."
ask,"Priesthood! Look Ross, I'm telling you, she has no idea what you're thinking. If you don't ask her out soon you're going to end up stuck in the zone forever.",inquire,"Priesthood! Look Ross, I'm telling you, she has no idea what you're thinking. If you don't inquire her out soon you're going to end up stuck in the zone forever."
end,"Priesthood! Look Ross, I'm telling you, she has no idea what you're thinking. If you don't ask her out soon you're going to end up stuck in the zone forever.",conclude,"Priesthood! Look Ross, I'm telling you, she has no idea what you're thinking. If you don't ask her out soon you're going to conclude up stuck in the zone forever."
right,"I will, I will. See, I'm waiting for the right moment.  What? What, now?",correct,"I will, I will. See, I'm waiting for the correct moment. What? What, now?"
find,"Oh, poor little Tooty is scared to death. We should find his owner.",locate,"Oh, poor little Tooty is scared to death. We should locate his owner."
find,Alright. I looked all over the building and I couldn't find the kitty anywhere.,locate,Alright. I looked all over the building and I couldn't locate the kitty anywhere.
exciting,"God, the first time he smiled at me... those three seconds were more exciting than three weeks in Bermuda with Barry.",thrilling,"God, the first time he smiled at me... those three seconds were more thrilling than three weeks in Bermuda with Barry."
right,"You know, did you ride mopeds? 'Cause I've heard... ... oh, I see... it's not about that right now. OK.",correct,"You know, did you ride mopeds? 'Cause I've heard... ... oh, I see... it's not about that correct now. OK."
huge,"That's funny, because you know, you are a huge crapweasel!",enormous,"That's funny, because you know, you are a enormous crapweasel!"
great,"Well, goodbye Chandler. I had a great blackout.  See ya.",grand,"Well, goodbye Chandler. I had a grand blackout. See ya."
enjoy,"...Couldn't enjoy a cup of noodles after that. I mean, is that ridiculous? Can you believe she actually thought that?",relish,"...Couldn't relish a cup of noodles after that. I mean, is that ridiculous? Can you believe she actually thought that?"
entire,"Yeah, but then you spent Phoebe's entire birthday party talking to my breasts, so then I figured maybe not.",whole,"Yeah, but then you spent Phoebe's whole birthday party talking to my breasts, so then I figured maybe not."
glad,"Me? I'm fine, fine. I'm glad you're here. ...What's with your hair?",pleased,"Me? I'm fine, fine. I'm pleased you're here. ...What's with your hair?"
right,"Hm, I mean maybe no-one ever really goes. Ever since my mom died, every now and then, I get the feeling that she's like right here, y'know?  Oh! And Debbie, my best friend from junior high- got struck by lightning on a miniature golf course- I always get this really strong Debbie vibe whenever I use one of those little yellow pencils, y'know? ...I miss her.",correct,"Hm, I mean maybe no-one ever really goes. Ever since my mom died, every now and then, I get the feeling that she's like correct here, y'know? Oh! And Debbie, my best friend from junior high- got struck by lightning on a miniature golf course- I always get this really strong Debbie vibe whenever I use one of those little yellow pencils, y'know? ...I miss her."
friend,"Hm, I mean maybe no-one ever really goes. Ever since my mom died, every now and then, I get the feeling that she's like right here, y'know?  Oh! And Debbie, my best friend from junior high- got struck by lightning on a miniature golf course- I always get this really strong Debbie vibe whenever I use one of those little yellow pencils, y'know? ...I miss her.",companion,"Hm, I mean maybe no-one ever really goes. Ever since my mom died, every now and then, I get the feeling that she's like right here, y'know? Oh! And Debbie, my best companion from junior high- got struck by lightning on a miniature golf course- I always get this really strong Debbie vibe whenever I use one of those little yellow pencils, y'know? ...I miss her."
great,"Y'know, it's a shame, because you and Lowell would've made a great couple.",grand,"Y'know, it's a shame, because you and Lowell would've made a grand couple."
fine,Oh! A fine choice. I'm coming out. ,exquisite,Oh! A exquisite choice. I'm coming out.
different,Mm. Unless we go with a different dress?,distinct,Mm. Unless we go with a distinct dress?
find," Hi, sorry I'm late, I couldn't find my bearings.",locate,"Hi, sorry I'm late, I couldn't locate my bearings."
beautiful,It was a really beautiful service.,gorgeous,It was a really gorgeous service.
great,"God, what a great day. ...What? Weather-wise!",grand,"God, what a grand day. ...What? Weather-wise!"
fear,I'm fine. Just-just... having my worst fear realised...,dread,I'm fine. Just-just... having my worst dread realised...
grow,Do you know what it's like to grow up with someone who is critical of every single thing you say?,cultivate,Do you know what it's like to cultivate up with someone who is critical of every single thing you say?
